,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
NAT2,-0.0038311882,-0.004687159,-0.0009970192,0.0005026171,0.0010033764,0.00089373207,0.00011198445,0.00045966823,-0.002244776,-0.006796242,-0.0015253711,4.9127786e-05,-0.00064755505,7.917956e-09,4.0516447e-08,6.8455144e-09,1.3338384e-09,-1.4089083e-07,-0.0016599856,-0.00386621,0.0022936747,-0.0033727665,0.003856193,0.0005653677,0.0022386017,0.0014729842,-0.0025315129,9.859111e-05,0.0011030573,-0.003807976,0.004180737,0.005537537,-0.005537738,0.0041800616,0.0038080725,-0.0011027132,-9.9069955e-05,-0.0025316852,0.0014729116,0.0022389672,0.0005655471,-0.0038560187,0.0033727526,0.0022941893,-0.0038660956,-0.0016600922,-1.8677998e-08,-3.461621e-08,-1.8834683e-08,2.604639e-08,1.6743016e-08,-0.0006475468,-4.8976166e-05,-0.00152527,0.00679623,0.0022449405,0.00045936598,-0.00011207742,0.0008936319,0.0010034129,0.000502651,-0.0009970148,-0.0056842617,-0.002082453
HP:0000007,0.062367186,0.07630151,0.025586233,-0.017660603,-0.039453164,-0.015829246,0.0136118,-0.004053466,0.020429676,0.05736657,0.07154745,0.0002570862,-0.00088873674,1.0048557e-07,-1.03707634e-07,-6.3920325e-08,-1.0761818e-07,1.4640743e-06,-8.464481e-05,0.032068726,-0.010556788,-0.0002411437,-0.008176225,-0.020062802,-0.010044208,-0.012757766,0.006626843,-0.02429806,-0.003601481,0.019550875,-0.028776761,-0.008124185,-0.00812071,0.02877425,0.019551624,-0.003599493,-0.024299871,-0.0066266693,0.012754976,0.010045289,0.02006282,-0.008173916,-0.00024161501,0.010560045,-0.032068178,8.3435305e-05,-4.550235e-06,4.4064896e-07,-2.0767439e-07,9.6029325e-08,3.6905547e-08,0.00088738883,0.00024932687,-0.07154643,0.057367995,0.020432282,0.004049461,0.013611826,0.015825909,0.039453328,0.017661555,-0.025586203,-0.09253311,-0.0338999
HP:0001939,0.013545263,0.016571634,0.0002025282,0.0010012873,0.0031753418,-0.0012408495,-0.0035394377,-0.0014940966,0.007096567,0.021854075,-0.0078653805,-0.0003024008,0.003432938,-5.5781356e-08,-1.8518774e-07,-6.7941914e-09,5.8902604e-08,3.8736025e-07,0.008272173,0.011717625,-0.0087533,0.016106563,-0.01651013,0.0016936116,-0.008266679,-0.004065442,0.010284063,0.004822062,-0.0042699534,0.013108627,-0.012707506,-0.023185955,-0.023187561,0.012704997,0.013108909,-0.0042687613,0.004820245,-0.010284841,0.0040657083,0.008268147,-0.001692728,-0.016509766,0.016106613,0.008754883,-0.011717135,-0.008272406,9.024209e-07,-2.5539512e-07,-3.6861746e-08,9.447932e-08,8.033095e-08,-0.0034326103,-0.00029994716,0.007865801,0.021853626,0.0070968745,0.0014933893,-0.0035398474,0.0012409678,-0.0031751941,-0.0010013394,-0.00020249948,-0.020096906,-0.007362584
AARS1,-0.020272722,-0.024802122,0.00048322603,-0.00280381,-0.018940948,-0.004950665,0.013433177,0.0054976977,-0.030973759,0.006504533,-0.0025913387,0.0035723795,0.014372357,-1.1435464e-07,-3.0288402e-07,-1.4503884e-07,7.8988805e-08,1.12090945e-07,0.0028638274,-0.026355272,-0.0028737278,0.008869171,-0.009124345,0.009808871,0.0067284093,-0.012806485,0.004835538,0.011800817,0.0023682457,-0.010284864,-0.0017765546,-0.0002333604,0.00023301,-0.0017774107,0.010284581,-0.0023674576,-0.011800119,0.004836155,-0.0128071485,0.006728359,0.009808011,0.009125866,-0.0088693835,-0.0028707543,-0.026355436,0.002863235,3.0056128e-06,-3.0367818e-07,-4.2451646e-08,-6.602913e-08,-1.1356343e-07,0.014372529,-0.0035717303,-0.00259084,-0.0065052593,0.030974029,0.005493878,-0.01343506,-0.004948121,-0.018940715,-0.0028041387,0.0004833406,-0.030078292,-0.011019326
HP:0002460,0.014076681,0.017221741,-0.00032683555,0.000896221,0.0108583225,0.003561332,-0.009966091,-0.0050314087,0.029073358,-0.0046304045,0.00074337365,-0.0028733416,-0.013215078,1.6027282e-07,3.673532e-07,1.2228557e-07,-7.7585e-08,-3.1959885e-08,-0.008643309,0.014532356,-0.017522004,-0.016569378,0.0105887465,0.006368786,-0.013737655,-0.024309447,0.00087708834,0.0044385786,0.006593305,0.027841255,0.004428081,-0.007961606,-0.007962555,-0.004430484,0.027839627,0.006594137,0.0044339923,-0.0008794768,0.024311215,0.013736698,-0.0063703097,0.010589699,-0.016569385,0.017523425,-0.014530527,0.008643319,2.8246552e-06,-3.0091462e-07,-3.608562e-08,-1.0611181e-07,-1.3858143e-07,0.013214908,-0.0028721537,-0.0007428542,-0.0046308413,0.029073868,0.005027463,-0.009967676,-0.003559321,-0.010858111,-0.00089643564,0.0003269045,-0.02088532,-0.0076514357
HP:0009886,0.005418108,0.006628653,-0.00019955914,0.0008097547,0.0043598786,0.0005681985,-0.0011612475,-0.00074007316,0.0014856744,-0.0020534203,0.00097380835,-0.00018671759,-0.00029893348,-1.4424653e-09,-2.1421304e-08,8.732199e-09,6.270354e-10,-7.718619e-08,0.0011132227,0.0031630723,0.0036856104,-0.005571255,-0.0007117705,-0.0019217657,-0.0010234045,0.002354113,0.0007743016,-0.0030741915,-0.00043996805,0.0021360507,-0.001176955,0.0014068811,0.0014067265,0.0011769409,0.0021360673,-0.00043967948,-0.003074154,-0.0007741008,-0.0023543919,0.0010231542,0.0019214527,-0.0007116037,-0.005571361,-0.003685168,-0.0031636117,-0.0011133234,-7.1269255e-08,2.7454758e-08,-5.3598077e-09,2.350977e-09,1.8788961e-09,0.0002989075,-0.00018699556,-0.0009737902,-0.002053477,0.0014857097,0.0007399543,-0.0011613558,-0.00056796183,-0.0043598646,-0.000809815,0.00019957667,-0.00803876,-0.002945039
HP:0001268,0.015796378,0.019325677,-0.0005470915,0.002487449,0.014612899,0.0045450535,-0.011882013,-0.005124703,0.028650543,-0.002364532,-0.0007521414,-0.0033724245,-0.012576288,3.8707377e-08,2.5904365e-07,9.255646e-08,-5.149171e-08,-3.9974996e-08,-0.0012613523,0.021697937,0.0021346416,-0.0017575305,0.008125164,-0.013763478,-0.0009832247,0.02358989,-0.0036853673,-0.011607332,-0.0020248129,-0.0071675424,0.0015350272,-0.001520349,-0.0015206389,-0.001534878,-0.007167533,-0.0020247179,-0.011604254,0.0036871203,-0.02359134,0.0009836105,0.013763335,0.008126512,-0.0017576675,-0.0021322982,-0.021697832,0.0012608918,3.0738124e-06,-3.644197e-07,-2.9424516e-08,-5.462846e-08,-5.250257e-08,0.012576559,-0.0033710643,0.00075271935,-0.0023652993,0.028650837,0.005121181,-0.011883726,-0.0045428607,-0.014612675,-0.002487719,0.0005471743,-0.023436803,-0.008586191
HP:0002599,0.0038311773,0.0046871635,-0.00013216352,0.0005481662,0.004271162,0.0006807458,-0.002611367,-0.0012364616,0.0069724885,-0.0014824872,0.000415715,-0.0008859518,-0.003352545,2.2897828e-08,6.579782e-08,2.9718997e-08,-1.4327989e-08,-3.6205694e-08,-0.0003627555,0.006733774,0.000859208,-0.0017608455,0.0019480287,-0.0030218582,-0.0008764777,0.0038037437,-0.001386183,-0.0028859659,-0.0002629591,0.0019863995,0.00055366533,-0.00045055887,-0.00045066408,-0.0005538171,0.0019863525,-0.00026277662,-0.0028856539,0.0013863938,-0.003803916,0.0008765121,0.0030216982,0.0019483971,-0.0017608922,-0.0008584275,-0.006733822,0.0003626091,7.221226e-07,-7.18664e-08,-9.200427e-09,-1.5571427e-08,-2.0005476e-08,0.0033526088,-0.00088579487,-0.0004155992,-0.0014826547,0.0069725784,0.0012355675,-0.002611712,-0.000680247,-0.004271114,-0.0005482431,0.00013218472,-0.005684259,-0.0020824592
HP:0001265,0.023925737,0.02927134,-0.0005528126,0.0024043452,0.016002195,0.0033219643,-0.011009815,-0.0047139134,0.033938404,0.00042917393,-0.0020986735,-0.0050359853,-0.015324531,1.6538571e-07,4.0215528e-07,1.0730591e-07,-6.967146e-08,6.4024796e-08,-0.0053872718,0.019983176,-0.010018643,-0.00788518,0.0098811835,-0.0011214631,-0.0085286535,-0.007055478,-0.0013210991,-0.0014540625,0.002262363,0.0135710025,0.0010959539,0.0007455213,0.0007456357,-0.0010966801,0.0135706505,0.0022630133,-0.001455619,0.0013202698,0.0070559764,0.008528507,0.0011205485,0.009882399,-0.007885154,0.010020786,-0.019981908,0.0053871023,3.7732736e-06,-4.1175963e-07,-4.3616858e-08,-1.13185116e-07,-1.5497233e-07,0.015324719,-0.0050338963,0.0020995857,0.00042863959,0.033938818,0.0047094,-0.011011693,-0.0033198756,-0.016001912,-0.0024046532,0.0005528886,-0.035498213,-0.013004929
HP:0100876,0.005418121,0.006628649,-2.0055566e-05,0.00091770664,0.006616623,0.0013796615,-0.0026154194,0.00078381225,0.0015406217,-0.0031991624,0.0030466812,-0.00048880075,-0.0012634925,1.8484383e-09,-2.911809e-08,8.5363e-09,-4.7328004e-09,-7.546279e-08,0.0014683836,0.0071276254,0.006085668,0.00018672901,0.0012063184,-0.0049469555,0.001604163,0.0045060436,-0.0043998095,-0.004804596,-0.00066641293,0.00012030577,-0.0012934833,0.0011527899,0.0011529261,0.0012935479,0.00012049718,-0.00066631596,-0.0048039537,0.004400258,-0.0045064106,-0.0016040481,0.0049469587,0.0012066399,0.00018668313,-0.006084728,-0.007128187,-0.0014686434,-7.7379724e-08,9.249709e-09,-2.2009964e-08,9.384618e-09,1.6968782e-09,0.0012635816,-0.0004894705,-0.0030467312,-0.0031992402,0.0015403634,-0.00078381476,-0.002615754,-0.0013792425,-0.0066165994,-0.0009178074,2.0075988e-05,-0.008038759,-0.0029450376
