disease_id,disease_name,source
OMIM:111400,"#111400 BLOOD GROUP, P1PK SYSTEMP(1) PHENOTYPE, INCLUDED;;P(2) PHENOTYPE, INCLUDED;;P1(k) PHENOTYPE, INCLUDED;;P2(k) PHENOTYPE, INCLUDED;;p PHENOTYPE, INCLUDED;;NOR POLYAGGLUTINATION SYNDROME, INCLUDED",HPO_root
OMIM:111620,#111620 RADIN BLOOD GROUP ANTIGEN; RD;;BLOOD GROUP--RADIN ANTIGEN,HPO_root
OMIM:612271,"#612271 SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 11; SHEP11;;MELANESIAN BLOND HAIR;;SKIN/HAIR/EYE PIGMENTATION 11, BLUE/NONBLUE EYES",HPO_root
ORPHA:276413,10q22.3q23.3 microdeletion syndrome,HPO_root
ORPHA:276422,10q22.3q23.3 microduplication syndrome,HPO_root
ORPHA:300305,11p15.4 microduplication syndrome,HPO_root
ORPHA:444002,11q22.2q22.3 microdeletion syndrome,HPO_root
ORPHA:94063,12q14 microdeletion syndrome,HPO_root
ORPHA:412035,13q12.3 microdeletion syndrome,HPO_root
ORPHA:261120,14q11.2 microdeletion syndrome,HPO_root
ORPHA:261229,14q11.2 microduplication syndrome,HPO_root
ORPHA:264200,14q22q23 microdeletion syndrome,HPO_root
ORPHA:401935,14q24.1q24.3 microdeletion syndrome,HPO_root
ORPHA:314585,15q overgrowth syndrome,HPO_root
ORPHA:261183,15q11.2 microdeletion syndrome,HPO_root
ORPHA:238446,15q11q13 microduplication syndrome,HPO_root
ORPHA:199318,15q13.3 microdeletion syndrome,HPO_root
ORPHA:94065,15q24 microdeletion syndrome,HPO_root
ORPHA:261211,16p11.2p12.2 microdeletion syndrome,HPO_root
ORPHA:261204,16p11.2p12.2 microduplication syndrome,HPO_root
ORPHA:485405,16p12.1p12.3 triplication syndrome,HPO_root
ORPHA:261236,16p13.11 microdeletion syndrome,HPO_root
ORPHA:261243,16p13.11 microduplication syndrome,HPO_root
ORPHA:261250,16q24.3 microdeletion syndrome,HPO_root
ORPHA:1713,17p11.2 microduplication syndrome,HPO_root
ORPHA:217385,17p13.3 microduplication syndrome,HPO_root
