Disease,OMIMID,PhenotypeClass
"{hepatitis c virus, resistance to}",OMIM:609532,3
"{west nile virus, susceptibility to}",OMIM:610379,3
"{diabetes mellitus, insulin-dependent, 22}",OMIM:612522,3
"{hiv infection, susceptibility/resistance to}",-666,3
{wilms tumor susceptibility-5},OMIM:601583,3
2-aminoadipic 2-oxoadipic aciduria,OMIM:204750,3
"?charcot-marie-tooth disease, axonal, type 2q",OMIM:615025,3
"3-beta-hydroxysteroid dehydrogenase, type ii, deficiency",OMIM:201810,3
3-hydroxyisobutryl-coa hydrolase deficiency,OMIM:250620,3
3-m syndrome 1,OMIM:273750,3
3-m syndrome 2,OMIM:612921,3
3-m syndrome 3,OMIM:614205,3
3-methylcrotonyl-coa carboxylase 1 deficiency,OMIM:210200,3
3-methylcrotonyl-coa carboxylase 2 deficiency,OMIM:210210,3
"3-methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome",OMIM:614739,3
"3-methylglutaconic aciduria, type i",OMIM:250950,3
"3-methylglutaconic aciduria, type v",OMIM:610198,3
3mc syndrome 1,OMIM:257920,3
3mc syndrome 2,OMIM:265050,3
3p- syndrome,-666,4
3q21q26 syndrome,-666,1
46xx sex reversal 2,OMIM:278850,4
46xx sex reversal 3,OMIM:300833,4
46xx sex reversal 1,OMIM:400045,3
46xy sex reversal 1,OMIM:400044,3
46xy sex reversal 5,OMIM:613080,3
46xy sex reversal 6,OMIM:613762,3
"46xy partial gonadal dysgenesis, with minifascicular neuropathy",OMIM:607080,3
46xy sex reversal 7,OMIM:233420,3
5-oxoprolinase deficiency,OMIM:260005,3
6-mercaptopurine sensitivity,OMIM:610460,3
"?2,4-dienoyl-coa reductase deficiency",OMIM:616034,3
?[birbeck granule deficiency],OMIM:613393,3
?abdominal obesity-metabolic syndrome 4,OMIM:615980,3
?acat2 deficiency,OMIM:614055,1
?anal canal carcinoma,-666,2
"?anemia, hypochromic microcytic, with iron overload 2",OMIM:615234,3
"?anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",OMIM:205950,3
?aniridia,OMIM:106210,3
"?antiphospholipid syndrome, familial",OMIM:107320,2
"?aplasia cutis congenita, nonsyndromic",OMIM:107600,3
"?arthrogryposis, mental retardation, and seizures",OMIM:615553,3
?ataxia-telangiectasia-like disorder,OMIM:615919,3
?atrial fibrillation 15,OMIM:615770,3
?bardet-biedl syndrome 15,OMIM:615992,3
?bardet-biedl syndrome 18,OMIM:615995,3
?bardet-biedl syndrome 19,OMIM:615996,3
"?bleeding disorder, platelet-type, 18",OMIM:615888,3
"?bleeding disorder, platelet-type, 19",OMIM:616176,3
"?breast cancer, type 3",-666,2
"?breasts and/or nipples, aplasia or hypoplasia of, 2",OMIM:616001,3
?cardiac conduction disease with or without dilated cardiomyopathy,OMIM:616117,3
"?cardiomyopathy, dilated, 1aa",OMIM:612158,3
