disease_name,n_genes,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,is_pediatric,is_category_a,meets_ngsr,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR
17-beta-hydroxysteroid dehydrogenase X deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"2,4-Dienoyl-CoA reductase deficiency",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methylbutyryl-CoA dehydrogenase deficiency,1,3.0,0.2,1.0,0.05000000000000001,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
3 beta-hydroxysteroid dehydrogenase deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3-M syndrome,2,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3-Methylcrotonyl-CoA carboxylase 1 deficiency,1,4.0,0.6,2.0,0.39999999999999997,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3-Methylcrotonyl-CoA carboxylase 2 deficiency,1,4.0,0.6,2.0,0.39999999999999997,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3-hydroxy-3-methylglutaric aciduria,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3-hydroxyacyl-CoA dehydrogenase deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"3-methylglutaconic aciduria, type I",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"3-methylglutaconic aciduria, type III",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"3-methylglutaconic aciduria, type V",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ACAD9 deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
AICA-Ribosiduria,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
