gene_symbol,n_total_variants,n_pathogenic,n_likely_pathogenic,n_benign,n_likely_benign,n_vus,pathogenic_fraction,benign_fraction,clinical_actionability
BRCA2,13049,8788,258,1448,1506,1001,0.6932331979462028,0.22637750019158556,high
BRCA1,9883,6330,336,1346,1057,706,0.6744915511484367,0.2431447940908631,high
TTN,11872,4674,785,290,2000,4089,0.45982142857142855,0.19289083557951484,high
MSH2,3148,2000,234,100,402,390,0.7096569250317663,0.15946632782719186,high
MLH1,2810,1600,290,141,340,425,0.6725978647686833,0.1711743772241993,high
TSC2,4370,1581,242,94,764,302,0.41716247139588103,0.19633867276887873,high
ATM,4537,1563,426,76,876,1594,0.4383954154727794,0.20983028432885167,high
MSH6,2956,1529,148,106,592,581,0.5673207036535859,0.2361299052774019,high
CFTR,2386,1434,204,26,96,394,0.6865046102263203,0.05113160100586756,high
LDLR,3520,1430,1283,70,206,505,0.7707386363636364,0.07840909090909091,high
DMD,2128,1282,76,174,232,362,0.6381578947368421,0.19078947368421054,high
NF1,2693,1193,147,62,732,521,0.49758633494244336,0.2948384701076866,high
APC,4756,1052,157,125,706,944,0.25420521446593775,0.17472666105971404,high
SCN1A,1680,1004,220,32,100,198,0.7285714285714285,0.07857142857142857,high
PALB2,2042,875,191,26,466,484,0.5220372184133203,0.24094025465230168,high
FBN1,2037,851,550,76,214,346,0.6877761413843888,0.14236622484045164,high
MYBPC3,1965,808,276,45,270,562,0.5516539440203563,0.16030534351145037,high
SYNE1,2056,790,18,222,218,804,0.39299610894941633,0.2140077821011673,high
COL3A1,1300,749,263,66,94,126,0.7784615384615384,0.12307692307692308,high
COL6A3,1297,686,28,142,172,267,0.5505011565150347,0.24209714726291442,high
MYH7,2236,669,283,126,292,864,0.4257602862254025,0.18694096601073346,high
PMS2,1656,666,110,66,328,486,0.46859903381642515,0.23792270531400966,high
DYSF,1138,656,78,78,86,240,0.6449912126537786,0.14411247803163443,high
SCN5A,1972,614,154,12,226,700,0.3894523326572008,0.1206896551724138,high
MECP2,1690,604,360,222,252,252,0.570414201183432,0.2804733727810651,high
KCNH2,1536,586,188,28,72,430,0.50390625,0.06510416666666667,high
ABCA4,1513,578,350,77,116,128,0.6133509583608724,0.12756113681427628,high
TSC1,1772,575,68,110,252,260,0.3628668171557562,0.20428893905191872,high
RYR2,1734,554,98,140,356,586,0.3760092272202999,0.28604382929642447,high
RYR1,1922,542,124,238,468,454,0.3465140478668054,0.3673257023933403,high
KMT2D,1112,538,56,120,242,130,0.5341726618705036,0.3255395683453237,high
OTC,693,537,82,16,8,50,0.8932178932178932,0.03463203463203463,high
DSP,1174,528,124,44,228,248,0.555366269165247,0.23168654173764908,high
USH2A,1451,524,163,158,306,296,0.47346657477601656,0.31977946243969674,high
PLEC,1212,506,4,188,184,330,0.4207920792079208,0.3069306930693069,high
PAH,1250,505,398,38,27,192,0.7224,0.052,high
NIPBL,906,503,98,56,98,151,0.6633554083885209,0.16997792494481237,high
CDH23,1250,502,34,102,246,364,0.4288,0.2784,high
GLA,964,494,246,24,94,104,0.7676348547717843,0.12240663900414937,high
NEB,1130,492,34,208,240,156,0.4654867256637168,0.39646017699115044,high
MUTYH,877,474,90,14,154,145,0.6431014823261118,0.19156214367160776,high
ADGRV1,1003,474,25,148,222,134,0.49750747756729813,0.36889332003988035,high
NSD1,804,470,70,46,136,82,0.6716417910447762,0.2263681592039801,high
LMNA,1148,462,186,22,78,244,0.5644599303135889,0.08710801393728224,high
CHD7,812,453,21,66,140,132,0.583743842364532,0.2536945812807882,high
COL6A2,875,443,44,62,156,170,0.5565714285714286,0.24914285714285714,high
DNAH11,905,438,22,104,244,95,0.5082872928176796,0.38453038674033146,high
MYO7A,958,434,140,56,150,176,0.5991649269311065,0.2150313152400835,high
KCNQ1,1281,433,292,32,116,252,0.5659640905542545,0.11553473848555816,high
CDH1,1464,433,26,123,450,430,0.3135245901639344,0.39139344262295084,high
BRIP1,1656,428,92,44,414,678,0.3140096618357488,0.27657004830917875,high
HBB,1106,401,98,14,58,155,0.4511754068716094,0.0650994575045208,high
F8,514,401,66,22,12,13,0.9085603112840467,0.06614785992217899,high
STK11,980,396,32,38,300,214,0.43673469387755104,0.3448979591836735,high
ASPM,886,386,38,64,102,230,0.4785553047404063,0.1873589164785553,high
COL5A1,1009,381,18,120,342,148,0.39544103072348863,0.4578790882061447,high
COL6A1,758,374,26,116,148,94,0.5277044854881267,0.3482849604221636,high
PTEN,1298,374,114,64,278,466,0.37596302003081666,0.26348228043143296,high
TP53,1116,374,160,76,314,186,0.478494623655914,0.34946236559139787,high
APOB,561,373,18,8,58,104,0.696969696969697,0.11764705882352941,high
RET,863,366,42,32,202,208,0.4727694090382387,0.2711471610660487,high
PKHD1,927,361,70,106,126,264,0.46494066882416396,0.25026968716289105,high
BARD1,1205,361,56,21,306,461,0.34605809128630705,0.2713692946058091,high
MYO15A,719,359,46,50,108,156,0.5632823365785814,0.21974965229485396,high
FBN2,1047,355,14,108,254,316,0.3524355300859599,0.3457497612225406,high
FLNA,673,350,48,46,160,67,0.5913818722139673,0.3060921248142645,high
DNAH5,863,337,36,156,198,134,0.4322132097334878,0.4101969872537659,high
PTCH1,867,333,12,64,362,96,0.39792387543252594,0.4913494809688581,high
CHEK2,1185,318,134,4,186,535,0.38143459915611816,0.16033755274261605,high
VPS13B,815,312,116,32,112,241,0.5251533742331288,0.17668711656441718,high
ZNF469,630,306,10,48,124,142,0.5015873015873016,0.273015873015873,high
OTOF,737,305,46,42,160,132,0.4762550881953867,0.27408412483039346,high
LAMA2,653,304,45,70,108,126,0.5344563552833078,0.2725880551301684,high
SYNE2,992,304,2,250,164,272,0.3084677419354839,0.4173387096774194,high
COL4A5,553,302,172,22,12,24,0.8571428571428571,0.06148282097649186,high
CDKL5,657,295,118,80,86,74,0.6286149162861492,0.2526636225266362,high
RELN,587,289,2,74,88,130,0.4957410562180579,0.27597955706984667,high
GAA,641,286,40,78,80,157,0.5085803432137286,0.24648985959438377,high
CAPN3,614,284,70,20,54,186,0.5765472312703583,0.12052117263843648,high
WFS1,668,282,46,70,124,146,0.49101796407185627,0.2904191616766467,high
RAD51C,559,279,60,2,136,82,0.6064400715563506,0.24686940966010734,high
DMPK,294,278,0,8,2,4,0.9455782312925171,0.034013605442176874,high
POLG,690,276,52,26,90,244,0.4753623188405797,0.1681159420289855,high
MEFV,544,270,16,28,40,126,0.5257352941176471,0.125,high
CACNA1C,683,268,10,78,164,161,0.40702781844802344,0.35431918008784774,high
KCNQ2,588,267,82,56,92,52,0.5935374149659864,0.25170068027210885,high
AGXT,510,265,102,40,38,59,0.7196078431372549,0.15294117647058825,high
DICER1,686,262,22,88,182,132,0.4139941690962099,0.3935860058309038,high
CEP290,571,262,50,42,76,123,0.5464098073555166,0.20665499124343256,high
MEN1,512,260,70,14,90,78,0.64453125,0.203125,high
PKP2,686,258,92,32,102,202,0.5102040816326531,0.19533527696793002,high
NBN,1028,256,68,47,236,413,0.3151750972762646,0.27529182879377434,high
MYH11,743,253,6,49,168,267,0.34858681022880217,0.2920592193808883,high
UBE3A,441,252,36,28,26,99,0.6530612244897959,0.12244897959183673,high
SACS,428,251,26,9,65,77,0.647196261682243,0.17289719626168223,high
RBM20,598,250,12,24,130,182,0.43812709030100333,0.25752508361204013,high
COL1A1,500,248,78,40,32,96,0.652,0.144,high
MTM1,354,248,62,14,6,24,0.8757062146892656,0.05649717514124294,high
POLE,738,248,2,8,267,213,0.33875338753387535,0.37262872628726285,high
COL2A1,464,246,46,74,50,46,0.6293103448275862,0.2672413793103448,high
CREBBP,502,244,60,32,104,54,0.6055776892430279,0.27091633466135456,high
VHL,728,243,111,84,68,222,0.48626373626373626,0.2087912087912088,high
RAD50,1314,242,81,23,314,638,0.24581430745814306,0.256468797564688,high
ZEB2,458,240,18,14,116,70,0.5633187772925764,0.2838427947598253,high
VWF,1040,240,148,54,104,190,0.3730769230769231,0.1519230769230769,high
NRXN1,745,240,0,62,88,351,0.3221476510067114,0.20134228187919462,high
FLCN,461,233,44,46,66,70,0.6008676789587852,0.24295010845986983,high
JAG1,398,226,22,52,60,36,0.6231155778894473,0.2814070351758794,high
CC2D2A,430,226,52,36,36,80,0.6465116279069767,0.16744186046511628,high
COL7A1,388,222,36,30,36,64,0.6649484536082474,0.17010309278350516,high
ABCC8,375,221,50,12,26,60,0.7226666666666667,0.10133333333333333,high
RB1,409,221,26,30,66,64,0.6039119804400978,0.23471882640586797,high
LOXHD1,508,220,8,12,80,186,0.44881889763779526,0.18110236220472442,high
SPG11,420,218,44,10,28,72,0.6238095238095238,0.09047619047619047,high
PCNT,668,217,12,178,76,185,0.34281437125748504,0.38023952095808383,high
HSPG2,673,215,4,114,108,232,0.32540861812778604,0.3298662704309064,high
PTPN11,569,214,70,73,90,116,0.4991212653778559,0.28646748681898065,high
ANK2,721,212,8,52,172,269,0.30513176144244103,0.3106796116504854,high
SMARCA4,592,208,8,26,284,62,0.36486486486486486,0.5236486486486487,high
