gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability
AAAS,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,HYPOTO,0.64,high,50.0,0.856
AARS,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,"IEM, HYPOTO",,,,0.44999999999999996
AARS2,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,HYPOTO,0.2741935483870967,high,62.0,0.19467741935483868
ABAT,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,SEIZ,0.1888412017167382,high,38.0,0.1605364806866953
ABCA12,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.4375,high,95.0,0.775
ABCA3,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,PULM,0.3673469387755102,high,102.0,0.746938775510204
ABCA4,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,,0.6133509583608724,high,578.0,0.8453403833443489
ABCB11,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,BIL,0.4047619047619047,high,86.0,0.7619047619047619
ABCB4,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,BIL,0.4574468085106383,high,76.0,0.7829787234042553
ABCB7,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,2.0,"AN_TH, IEM, HYPOTO",0.32,high,14.0,0.213
ABCC2,1,4.0,0.6,1.0,0.19999999999999998,0.19999999999999998,1,0,0,0.0,"BIL, SEIZ",0.4163090128755364,high,81.0,0.2865236051502146
ABCC6,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.7263157894736842,high,49.0,0.8905263157894736
ABCC8,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"GLY, SEIZ, HYPOTO",0.7226666666666667,high,221.0,0.8890666666666667
ABCC9,3,3.0,1.0,3.0,0.75,0.30833333333333335,1,1,1,1.0,"CM, COND, DERM",0.3494623655913978,high,118.0,0.5897849462365591
ABCD1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,2.0,"BIL, IEM, SEIZ, HYPOTO",0.7071823204419889,high,88.0,0.8828729281767955
ABCD4,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,"AN_TH, SEIZ",0.4444444444444444,medium,8.0,0.2627777777777778
ABCG5,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"BIL, AN_TH",0.4714285714285714,high,58.0,0.7885714285714286
ACAD8,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,IEM,0.303030303030303,high,26.0,0.7212121212121212
ACAD9,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"IEM, HYPOTO",0.4102564102564102,high,44.0,0.614102564102564
ACADL,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,,0.0,low,0.0,0.024999999999999998
ACADM,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"IEM, GLY, SEIZ, HYPOTO",0.6066666666666667,high,112.0,0.8426666666666667
ACADS,1,4.0,0.6,1.0,0.19999999999999998,0.19999999999999998,1,0,0,0.0,"IEM, GLY, SEIZ, HYPOTO",0.4848484848484848,high,38.0,0.3139393939393939
ACADSB,1,3.0,0.2,1.0,0.05000000000000001,0.05000000000000001,1,0,0,0.0,"IEM, GLY, SEIZ, HYPOTO",0.1401869158878504,high,22.0,0.08607476635514016
ACADVL,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"IEM, GLY, SEIZ, HYPOTO",0.5426621160409556,high,77.0,0.8170648464163822
ACAT1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"IEM, GLY, SEIZ",0.4705882352941176,high,40.0,0.788235294117647
ACBD5,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,1.0,AN_TH,1.0,low,2.0,0.42500000000000004
ACE,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,REN,0.2857142857142857,high,52.0,0.5642857142857143
ACO2,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,"IEM, HYPOTO",0.3783783783783784,high,20.0,0.23635135135135135
ACOX1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"SEIZ, HYPOTO",0.1428571428571428,high,30.0,0.5071428571428571
ACSF3,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"IEM, GLY, SEIZ",0.4328358208955223,high,19.0,0.6231343283582089
ACTA1,2,4.0,1.0,3.0,1.0,0.5708333333333333,1,1,1,1.0,HYPOTO,0.5285714285714286,high,38.0,0.8114285714285714
ACTA2,1,4.0,0.6,2.0,0.39999999999999997,0.39999999999999997,1,0,1,1.0,,0.3939393939393939,high,32.0,0.3975757575757576
ACTB,2,3.0,1.0,3.0,0.75,0.3958333333333333,1,1,1,1.0,HL,0.7948717948717948,high,44.0,0.7679487179487179
ACTC1,4,3.0,0.6,2.0,0.3,0.12916666666666665,1,0,1,1.0,"CHD, CM, COND",0.2203856749311294,high,72.0,0.26815426997245173
ACTG1,2,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,HL,0.2911392405063291,high,28.0,0.5664556962025316
ACTG2,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,BOW,1.0,high,24.0,0.85
ACTN1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,AN_TH,0.8333333333333334,high,6.0,0.7833333333333333
ACTN2,2,2.0,0.5,2.0,0.13333333333333333,0.0875,1,0,1,1.0,CM,0.329059829059829,high,150.0,0.21162393162393162
ACTN4,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,REN,0.217391304347826,high,10.0,0.6869565217391304
ACVR1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,CHD,0.217391304347826,high,16.0,0.6869565217391304
ACVR2B,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,CHD,0.0062893081761006,low,2.0,0.02751572327044024
ACVRL1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,"PULM, DERM",0.3428571428571428,high,48.0,0.7371428571428571
ADA,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,,0.5862068965517241,high,32.0,0.8344827586206897
ADAM17,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,BOW,0.5,low,2.0,0.225
ADAMTS13,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"THROM, AN_TH, REN",0.456,high,88.0,0.7824
ADAMTS2,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,,0.2406015037593984,high,62.0,0.18124060150375937
ADAMTSL2,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"IEM, SK, DERM",0.2285714285714285,high,28.0,0.5414285714285714
ADAR,2,4.0,1.0,3.0,1.0,0.875,1,1,1,0.0,"THYR, AN_TH, SEIZ, HYPOTO",0.2886597938144329,high,44.0,0.7154639175257731
ADK,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,BIL,0.16,medium,8.0,0.514
AGA,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"IEM, SEIZ",0.578125,high,38.0,0.6812499999999999
AGL,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"GLY, HYPOTO",0.3862815884476534,high,77.0,0.7545126353790613
AGPS,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,,0.0782608695652174,high,14.0,0.11630434782608695
AGRN,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,HYPOTO,0.1675126903553299,high,27.0,0.5170050761421319
AGT,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,REN,0.2162162162162162,high,14.0,0.17148648648648648
AGTR1,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,REN,0.1875,high,8.0,0.16
AGXT,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"THYR, REN",0.7196078431372549,high,265.0,0.8878431372549019
AHI1,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"REN, SEIZ",0.4423076923076923,high,110.0,0.7769230769230769
AHSP,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,0.0,AN_TH,,,,0.024999999999999998
AIFM1,1,3.0,1.0,3.0,0.75,0.75,1,1,1,2.0,"HL, IEM, HYPOTO",0.5135135135135135,high,14.0,0.6554054054054054
AIP,1,4.0,0.6,2.0,0.39999999999999997,0.39999999999999997,1,0,1,1.0,,0.372972972972973,high,56.0,0.38918918918918916
AIRE,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.5797101449275363,high,56.0,0.8318840579710145
AK1,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,AN_TH,1.0,high,12.0,0.485
AKAP9,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,1.0,COND,0.374015748031496,high,184.0,0.1746062992125984
