gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained,acmg_sf,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels,combined_actionability_v2
AAAS,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,HYPOTO,0.64,high,50.0,0.856,8.9231e-16,0.74437,0.921,0.88677,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.856
AARS,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,"IEM, HYPOTO",,,,0.4499999999999999,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4999999999999999
AARS2,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,HYPOTO,0.2741935483870967,high,62.0,0.1946774193548386,1.8233e-15,0.62326,0.752,1.8985,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2446774193548386
ABAT,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,SEIZ,0.1888412017167382,high,38.0,0.1605364806866953,1.1757e-10,0.6796,0.871,0.75346,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.21053648068669528
ABCA12,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.4375,high,95.0,0.775,4.8142e-17,0.50866,0.582,2.9254,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.775
ABCA3,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,PULM,0.3673469387755102,high,102.0,0.746938775510204,1.0831e-10,0.51233,0.612,1.3112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.746938775510204
ABCA4,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,,0.6133509583608724,high,578.0,0.8453403833443489,3.4822e-43,0.69695,0.786,1.3815,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8453403833443489
ABCB11,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,BIL,0.4047619047619047,high,86.0,0.7619047619047619,9.5597e-15,0.61106,0.739,1.2052,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8119047619047619
ABCB4,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,BIL,0.4574468085106383,high,76.0,0.7829787234042553,1.7893e-08,0.51004,0.623,3.5556,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8329787234042554
ABCB7,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,2.0,"AN_TH, IEM, HYPOTO",0.32,high,14.0,0.213,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.263
ABCC2,1,4.0,0.6,1.0,0.1999999999999999,0.1999999999999999,1,0,0,0.0,"BIL, SEIZ",0.4163090128755364,high,81.0,0.2865236051502146,1.5473000000000002e-45,0.86322,0.985,1.0363,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2865236051502146
ABCC6,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.7263157894736842,high,49.0,0.8905263157894736,1.2351e-33,0.7907,0.917,1.031,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8905263157894736
ABCC8,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"GLY, SEIZ, HYPOTO",0.7226666666666667,high,221.0,0.8890666666666667,9.534400000000001e-33,0.71928,0.829,2.8451,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8890666666666667
ABCC9,3,3.0,1.0,3.0,0.75,0.3083333333333333,1,1,1,1.0,"CM, COND, DERM",0.3494623655913978,high,118.0,0.5897849462365591,7.2745e-06,0.4611,0.557,7.0369,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6397849462365591
