gene_symbol,mim_number,entry_type
ALDH1A1,100640.0,gene
ALDH2,100650.0,gene/phenotype
ALDH3A1,100660.0,gene
ALDH1B1,100670.0,gene
ACAT2,100678.0,gene
CHRNA1,100690.0,gene
CHRNB1,100710.0,gene
CHRND,100720.0,gene
CHRNE,100725.0,gene
CHRNG,100730.0,gene
ACHE,100740.0,gene
ASCL1,100790.0,gene
ACO2,100850.0,gene
ACO1,100880.0,gene
ACR,102480.0,gene
ACRV1,102525.0,gene
ACTC1,102540.0,gene
ACTG2,102545.0,gene
ACTG1,102560.0,gene
FLNC,102565.0,gene
ACTN2,102573.0,gene
ACTN3,102574.0,gene
ACTN1,102575.0,gene
ACVR1,102576.0,gene
RFC4,102577.0,gene
PML,102578.0,gene
RFC1,102579.0,gene
ACVR2A,102581.0,gene
STAT3,102582.0,gene
AOAH,102593.0,gene
ACYP2,102595.0,gene
APRT,102600.0,gene
ACTA1,102610.0,gene
ACTA2,102620.0,gene
ACTB,102630.0,gene
SOAT1,102642.0,gene
APEH,102645.0,gene
MADCAM1,102670.0,gene
ADD1,102680.0,gene
ADD2,102681.0,gene
AAVS1,102699.0,predominantly phenotypes
DPP4,102720.0,gene
ADK,102750.0,gene
AMPD1,102770.0,gene
AMPD2,102771.0,gene
AMPD3,102772.0,gene
ADORA1,102775.0,gene
ADORA2A,102776.0,gene
ATP5F1B,102910.0,gene
ADCYAP1,102980.0,gene
ADCYAP1R1,102981.0,gene
AK1,103000.0,gene
AK2,103020.0,gene
AK4,103030.0,gene
ADSS2,103060.0,gene
ADCY8,103070.0,gene
ADCY2,103071.0,gene
ADCY1,103072.0,gene
ARF1,103180.0,gene
ARF5,103188.0,gene
ARF3,103190.0,gene
PLIN2,103195.0,gene
SLC25A4,103220.0,gene
FDX1,103260.0,gene
FDXR,103270.0,gene
ADM,103275.0,gene
H19,103280.0,gene
AGRN,103320.0,gene
AHNAK,103390.0,gene
ALB,103600.0,gene
ADH1A,103700.0,gene
ADH5,103710.0,gene
ADH1B,103720.0,gene
ADH1C,103730.0,gene
ADH6,103735.0,gene
ADH4,103740.0,gene
AKR1A1,103830.0,gene
ALDOA,103850.0,gene
ALDOC,103870.0,gene
AKR1B1,103880.0,gene
A2M,103950.0,gene
AFM,104145.0,gene
AFP,104150.0,gene
ZFHX3,104155.0,gene
GANAB,104160.0,gene
NAGA,104170.0,gene
GGTA1P,104175.0,gene
GANC,104180.0,gene
ADRA2A,104210.0,gene
ADRA1D,104219.0,gene
ADRA1B,104220.0,gene
ADRA1A,104221.0,gene
LRPAP1,104225.0,gene
FUT4,104230.0,gene
ST3GAL4,104240.0,gene
ADRA2C,104250.0,gene/phenotype
ADRA2B,104260.0,gene
PSEN1,104311.0,gene
AOC1,104610.0,gene
CCT6A,104613.0,gene
SLC3A1,104614.0,gene
SLC7A1,104615.0,gene
ACY1,104620.0,gene
AREG,104640.0,gene
AMY2A,104650.0,gene
AMY2B,104660.0,gene
AMY1A,104700.0,gene
AMY1B,104701.0,gene
AMY1C,104702.0,gene
SAA1,104750.0,gene
SAA2,104751.0,gene
SAA4,104752.0,gene
APP,104760.0,gene
APCS,104770.0,gene
APLP1,104775.0,gene
