gene_id,gene_name
NCBIGene:144568,A2ML1
NCBIGene:53947,A4GALT
NCBIGene:8086,AAAS
NCBIGene:79719,AAGAB
NCBIGene:16,AARS1
NCBIGene:57505,AARS2
NCBIGene:10157,AASS
NCBIGene:18,ABAT
NCBIGene:19,ABCA1
NCBIGene:26154,ABCA12
NCBIGene:20,ABCA2
NCBIGene:21,ABCA3
NCBIGene:24,ABCA4
NCBIGene:23461,ABCA5
NCBIGene:10347,ABCA7
NCBIGene:5243,ABCB1
NCBIGene:8647,ABCB11
NCBIGene:5244,ABCB4
NCBIGene:10058,ABCB6
NCBIGene:22,ABCB7
NCBIGene:4363,ABCC1
NCBIGene:85320,ABCC11
NCBIGene:1244,ABCC2
NCBIGene:368,ABCC6
NCBIGene:6833,ABCC8
NCBIGene:10060,ABCC9
NCBIGene:215,ABCD1
NCBIGene:5825,ABCD3
NCBIGene:5826,ABCD4
NCBIGene:9429,ABCG2
NCBIGene:64240,ABCG5
NCBIGene:64241,ABCG8
NCBIGene:26090,ABHD12
NCBIGene:7920,ABHD16A
NCBIGene:51099,ABHD5
NCBIGene:25,ABL1
NCBIGene:31,ACACA
NCBIGene:27034,ACAD8
NCBIGene:28976,ACAD9
NCBIGene:34,ACADM
NCBIGene:35,ACADS
NCBIGene:36,ACADSB
NCBIGene:37,ACADVL
NCBIGene:176,ACAN
NCBIGene:38,ACAT1
NCBIGene:39,ACAT2
NCBIGene:91452,ACBD5
NCBIGene:84320,ACBD6
NCBIGene:65057,ACD
NCBIGene:1636,ACE
NCBIGene:55331,ACER3
NCBIGene:57007,ACKR3
NCBIGene:50,ACO2
NCBIGene:51,ACOX1
NCBIGene:54,ACP5
NCBIGene:49,ACR
NCBIGene:197322,ACSF3
NCBIGene:2182,ACSL4
NCBIGene:51703,ACSL5
NCBIGene:58,ACTA1
NCBIGene:59,ACTA2
NCBIGene:60,ACTB
NCBIGene:70,ACTC1
NCBIGene:71,ACTG1
NCBIGene:72,ACTG2
NCBIGene:51412,ACTL6B
NCBIGene:10881,ACTL7A
NCBIGene:284382,ACTL9
NCBIGene:87,ACTN1
NCBIGene:88,ACTN2
NCBIGene:81,ACTN4
NCBIGene:90,ACVR1
NCBIGene:91,ACVR1B
NCBIGene:93,ACVR2B
NCBIGene:94,ACVRL1
NCBIGene:95,ACY1
NCBIGene:100,ADA
NCBIGene:51816,ADA2
NCBIGene:102,ADAM10
NCBIGene:6868,ADAM17
NCBIGene:53616,ADAM22
NCBIGene:8754,ADAM9
NCBIGene:81794,ADAMTS10
NCBIGene:11093,ADAMTS13
NCBIGene:170689,ADAMTS15
NCBIGene:170691,ADAMTS17
NCBIGene:170692,ADAMTS18
NCBIGene:171019,ADAMTS19
NCBIGene:9509,ADAMTS2
NCBIGene:9508,ADAMTS3
NCBIGene:92949,ADAMTSL1
NCBIGene:9719,ADAMTSL2
NCBIGene:54507,ADAMTSL4
NCBIGene:103,ADAR
NCBIGene:104,ADARB1
NCBIGene:113179,ADAT3
NCBIGene:107,ADCY1
NCBIGene:55811,ADCY10
NCBIGene:109,ADCY3
NCBIGene:111,ADCY5
NCBIGene:112,ADCY6
NCBIGene:118,ADD1
NCBIGene:120,ADD3
NCBIGene:30817,ADGRE2
NCBIGene:9289,ADGRG1
NCBIGene:10149,ADGRG2
NCBIGene:57211,ADGRG6
NCBIGene:22859,ADGRL1
NCBIGene:84059,ADGRV1
