gene_symbol,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained
ZZZ3,1.0,0.18503,0.289,2.4554,1,1
ZSWIM8,1.0,0.16523,0.228,5.9586,1,1
ZSWIM6,1.0,0.080771,0.146,3.2892,1,1
ZRANB1,1.0,0.19011,0.289,4.0454,1,1
ZNF827,1.0,0.12421,0.197,2.964,1,1
ZNF777,1.0,0.10603,0.199,2.9692,1,1
ZNF687,1.0,0.18735,0.293,2.3962,1,1
ZNF654,1.0,0.19194,0.305,2.4206,1,1
ZNF644,1.0,0.14731,0.224,2.7213,1,1
ZNF638,1.0,0.18132,0.249,-0.17164,1,1
ZNF629,1.0,0.16086,0.281,2.9267,1,1
ZNF609,1.0,0.10008,0.166,2.5292,1,1
ZNF608,1.0,0.097446,0.161,2.2465,1,1
ZNF592,1.0,0.12794,0.212,2.5546,1,1
ZNF541,1.0,0.19617,0.278,1.2702,1,1
ZNF536,1.0,0.15437,0.245,2.0591,1,1
ZNF532,1.0,0.20943,0.307,5.0566,1,1
ZNF521,1.0,0.12968,0.206,4.0944,1,1
ZNF496,1.0,0.18123,0.3,1.9417,1,1
ZNF462,1.0,0.048235,0.082,5.1124,1,1
ZNF445,1.0,0.20462,0.3,2.5407,1,1
ZNF423,1.0,0.12098,0.196,4.2914,1,1
ZNF407,1.0,0.15403,0.226,1.6037,1,1
ZNF384,1.0,0.19233,0.312,3.0869,1,1
ZNF292,1.0,0.11264,0.161,2.0272,1,1
ZNF281,1.0,0.032765,0.103,1.7158,1,1
ZNF236,1.0,0.25556,0.327,4.9431,1,1
ZNF217,1.0,0.13979,0.237,1.7698,1,1
ZNF148,1.0,0.11092,0.208,4.5888,1,1
ZNF131,1.0,0.09612,0.19,3.6456,1,1
ZNF106,1.0,0.32688,0.403,2.2539,1,0
ZMYND8,1.0,0.2556,0.336,5.0259,1,1
ZMYND11,1.0,0.08816,0.166,4.7337,1,1
ZMYM4,1.0,0.16518,0.225,5.1923,1,1
ZMIZ2,1.0,0.2866,0.398,2.2493,1,0
