disease_id,disease_name,cluster,genes,umap_x,umap_y
OMIM:101200,,2,FGFR2,-4.77042,4.7683115
OMIM:102500,,2,NOTCH2,-4.7270627,5.297686
OMIM:105650,,0,RPS19,-4.6065187,3.4518745
OMIM:107480,,0,SALL1,-5.5425963,3.4669418
OMIM:113620,,0,TFAP2A,-4.640187,2.8457687
OMIM:114290,,2,SOX9,-3.6638846,5.105644
OMIM:115150,,2,BRAF,-3.6190498,3.8673136
OMIM:117550,,3,NSD1,-1.9203817,2.582724
OMIM:118450,,3,JAG1,-3.2940376,3.324408
OMIM:119600,,2,RUNX2,-4.2904634,5.2488523
OMIM:122470,,0,NIPBL,-4.6348486,2.337127
OMIM:124000,,1,BCS1L,-0.6428387,4.796718
OMIM:130720,,2,NOTCH3,-4.8135796,5.231978
OMIM:133540,,1,ERCC6,-1.3790325,4.6592016
OMIM:135900,,3,ARID1B,-3.946708,2.4278245
OMIM:136140,,3,SRCAP,-4.2353506,2.1416814
OMIM:139210,,0,SMAD4,-3.9555047,2.5264392
OMIM:143095,,2,CHST3,-3.8768501,5.779516
OMIM:146510,,0,GLI3,-5.437365,3.5617216
OMIM:147920,,0,"KDM6A, KMT2D",-4.2845616,2.9374957
OMIM:151050,,0,PTDSS1,-3.8948874,3.7124248
OMIM:154400,,0,SF3B4,-5.586483,4.201283
OMIM:154700,,2,FBN1,-4.0897074,6.221873
OMIM:156200,,3,MBD5,-2.3706293,2.379795
OMIM:157800,,2,MAP3K7,-3.3217812,3.1241755
OMIM:163950,,0,"BRAF, MAP2K1, PTPN11",-4.379216,3.5763857
OMIM:164210,,0,SF3B2,-5.6588244,3.8342004
OMIM:166250,,2,FGFR1,-4.277004,5.280653
OMIM:170390,,2,KCNJ2,-4.391246,4.7269435
OMIM:176270,,3,"IPW, MKRN3, HERC2",-1.8762807,0.7557156
OMIM:180700,,2,"DVL1, WNT5A",-4.067563,4.8850737
OMIM:180849,,0,"CREBBP, EP300",-3.4906087,3.0121944
OMIM:181270,,2,KCTD1,-3.8524287,3.0801592
OMIM:182212,,2,SKI,-4.0345016,5.9153776
OMIM:182290,,3,RAI1,-2.7493057,1.7048814
OMIM:188400,,0,TBX1,-4.80693,3.5294333
OMIM:193700,,2,MYH3,-3.6933205,3.2251515
OMIM:194050,,2,"ELN, MLXIPL",-4.5484266,2.180578
OMIM:194190,,0,"CTBP1, LETM1, -",-4.6331077,2.7380552
OMIM:200990,,2,KIF7,-4.5884256,3.9720967
OMIM:201000,,2,RAB23,-4.562302,4.9950833
OMIM:201750,,2,POR,-4.3024616,4.883432
OMIM:209900,,1,"BBS1, CCDC28B, ARL6",-1.1239363,4.5969114
OMIM:210710,,0,RNU4ATAC,-3.891798,4.047293
OMIM:211380,,2,CDH11,-4.742367,5.2007475
OMIM:212065,,1,PMM2,-0.99385405,4.72038
OMIM:212066,,3,MGAT2,-2.2904239,2.900548
OMIM:212720,,2,RAB3GAP2,-3.828795,5.431376
OMIM:213980,,2,TMCO1,-3.1095977,3.389048
OMIM:214100,,1,PEX1,-2.6509876,4.3859935
OMIM:214150,,1,ERCC6,-1.7215606,4.567505
OMIM:214800,,0,CHD7,-5.5889087,3.6126924
OMIM:215140,,2,LBR,-3.7394917,4.9863205
OMIM:216340,,0,FIG4,-3.6536481,4.122761
OMIM:216400,,1,ERCC8,-1.1792469,4.757353
OMIM:218000,,3,SLC12A6,-1.4758245,3.3650353
OMIM:218040,,2,HRAS,-3.8110049,3.9281473
OMIM:218330,,2,IFT122,-3.2698262,4.914467
OMIM:218600,,2,RECQL4,-4.717146,4.6032805
OMIM:219000,,0,FRAS1,-5.186226,4.287026
OMIM:219800,,1,CTNS,-1.3391724,5.7790875
OMIM:220111,,1,LRPPRC,-1.5510253,4.216586
OMIM:220500,,0,TBC1D24,-2.4485471,3.9315796
OMIM:222470,,2,SKIC3,-3.6881273,4.533676
OMIM:224690,,2,ORC1,-4.5616145,4.511377
OMIM:235510,,2,CCBE1,-4.2006,4.7859387
OMIM:235730,,0,ZEB2,-4.1189384,1.4773164
OMIM:236670,,0,"FKTN, LARGE1, POMT1",-4.427928,3.9856994
OMIM:242840,,1,EPG5,-2.3593051,4.3135896
OMIM:242900,,1,SMARCAL1,-1.8597032,5.463786
OMIM:243800,,0,UBR1,-2.5531337,4.4311824
OMIM:244450,,3,UBE3B,-3.245075,3.600846
OMIM:245600,,2,"CHST3, B3GAT3",-3.5835311,5.9481525
OMIM:248500,,1,MAN2B1,-2.4465837,5.8806233
OMIM:249000,,0,MKS1,-4.8247123,3.9795732
OMIM:249420,,2,SH3PXD2B,-3.4495926,5.87311
OMIM:251300,,1,WDR73,-1.3649554,4.004015
OMIM:251450,,2,CANT1,-3.7067537,5.850288
OMIM:252010,,1,NDUFS4,-0.9527184,4.6836033
OMIM:252500,,2,GNPTAB,-2.8693647,5.8388386
OMIM:252940,,1,GNS,-2.367432,6.013738
OMIM:253200,,1,ARSB,-2.5011883,6.1538253
OMIM:253220,,1,GUSB,-2.4741795,6.159412
OMIM:254940,,1,MYMK,-2.4555862,4.2773504
OMIM:255800,,2,HSPG2,-4.318687,5.7832823
OMIM:256030,,2,NEB,-3.3746018,5.214421
OMIM:256040,,1,PSMB8,-1.0641578,5.4079967
OMIM:256520,,0,PHGDH,-4.842856,4.16902
OMIM:256810,,1,MPV17,-0.94708467,4.9779263
OMIM:257300,,2,BUB1B,-3.7435071,4.307819
OMIM:258450,,1,POLG,-0.42457905,4.9245453
OMIM:259050,,3,ZBTB20,-2.3586302,1.7880943
OMIM:259600,,2,MMP2,-3.250539,6.0600023
OMIM:259720,,1,OSTM1,-1.3689795,5.154244
OMIM:261515,,2,HSD17B4,-2.7963903,4.682923
OMIM:261540,,0,B3GLCT,-4.6482124,3.1040998
OMIM:263650,,2,RIPK4,-4.6967,4.308273
OMIM:264090,,2,POLR3A,-3.3938618,4.447096
OMIM:265000,,2,CHRNG,-4.5705123,5.3891754
OMIM:265380,,0,FOXF1,-4.501373,3.937529
OMIM:266920,,1,IFT140,-2.5405781,4.621854
OMIM:267750,,1,COL18A1,-2.0490267,3.916958
OMIM:268300,,2,ESCO2,-5.027047,4.1722636
OMIM:268310,,2,ROR2,-4.034165,4.8333697
OMIM:268400,,2,RECQL4,-3.909684,5.4312043
OMIM:269150,,2,SETBP1,-3.8114033,4.539579
OMIM:270400,,1,DHCR7,-3.310689,3.8120627
OMIM:270450,,3,IGF1R,-2.9056299,2.631475
OMIM:271640,,2,B3GALT6,-3.9110162,5.980525
OMIM:271665,,2,DDR2,-3.5926738,5.4043674
OMIM:274000,,0,RBM8A,-5.6184783,3.874091
OMIM:275210,,2,ZMPSTE24,-4.8323054,4.525976
OMIM:277590,,3,EZH2,-3.443998,2.1727307
OMIM:277900,,1,ATP7B,-0.9226247,5.54966
OMIM:278250,,2,ATP6V0A2,-3.8202307,5.6023674
OMIM:280000,,2,PIGL,-4.1380806,3.9216611
OMIM:300166,,0,BCOR,-4.1317587,1.3872501
OMIM:300260,,3,MECP2,-2.4566178,2.3753326
OMIM:300373,,2,AMER1,-3.5580897,4.0897045
OMIM:300534,,3,KDM5C,-2.8129847,1.9433576
OMIM:300855,,2,NAA10,-3.0762823,3.677958
OMIM:300868,,2,PIGA,-2.253996,3.5746129
OMIM:300895,,3,MED12,-3.0643606,2.6078484
OMIM:300912,,3,NEXMIF,-1.3758546,2.2870507
OMIM:300966,,3,TAF1,-2.3601801,2.0942638
OMIM:300967,,3,NONO,-2.1516006,1.9641482
OMIM:300968,,3,USP9X,-3.6563528,2.640644
OMIM:300998,,3,RPL10,-3.3639498,2.326571
OMIM:301040,,2,ATRX,-3.9003396,4.5503955
OMIM:301044,,3,SMC1A,-3.001896,2.524549
OMIM:301056,,0,OTUD5,-3.7736197,3.0084293
OMIM:301066,,3,TFE3,-1.6086909,2.133199
OMIM:301068,,1,MED12,-1.1864427,5.3296485
OMIM:303600,,2,RPS6KA3,-3.0355413,5.253205
OMIM:304120,,2,FLNA,-4.5684414,4.8545427
OMIM:305400,,2,FGD1,-4.210405,4.6304064
OMIM:305450,,2,MED12,-4.347357,3.554006
OMIM:305600,,0,PORCN,-5.5114603,3.8530293
OMIM:306955,,0,ZIC3,-4.817336,4.054969
OMIM:308205,,0,MBTPS2,-4.969215,3.4324138
OMIM:309500,,0,PQBP1,-4.008554,2.2299356
OMIM:309580,,2,ATRX,-3.9648504,4.647936
OMIM:309590,,3,HUWE1,-3.0191016,2.0580916
OMIM:309800,,0,"NAA10, BCOR",-5.1243587,3.7603767
OMIM:311200,,2,OFD1,-5.0640283,4.439078
OMIM:312870,,2,"GPC4, GPC3",-4.27265,4.0224304
OMIM:600920,,2,SCARF2,-4.2443566,5.6651006
OMIM:601358,,3,SMARCA2,-3.1347308,2.1014693
OMIM:601390,,2,DCHS1,-3.8858855,5.0128756
OMIM:601559,,2,LIFR,-2.8882127,4.341004
OMIM:601776,,2,CHST14,-4.861985,5.128496
OMIM:601812,,2,PDGFRB,-4.1155095,5.283931
OMIM:602342,,3,TBL1XR1,-2.8918698,2.89241
OMIM:602535,,2,NFIX,-3.3702855,4.1717877
OMIM:604292,,0,TP63,-5.618026,3.721521
OMIM:605039,,0,ASXL1,-3.0167344,3.4456062
OMIM:605130,,3,KMT2A,-3.1238036,2.5746462
OMIM:606232,,3,SHANK3,-3.0128326,2.1972053
OMIM:606721,,1,CAV1,-1.7164011,4.5261817
OMIM:607014,,2,IDUA,-2.5436866,6.0460267
OMIM:607323,,0,SALL4,-5.546879,3.4674613
OMIM:607459,,1,"POLG, TWNK",-0.2198241,5.0231094
OMIM:607721,,3,SHOC2,-3.7965539,3.6837888
OMIM:607932,,0,BMP4,-3.4924812,2.2123096
OMIM:607944,,2,ACP5,-2.723758,4.9154687
OMIM:608779,,1,COG7,-2.6790385,4.2684684
OMIM:608836,,1,CPT2,-2.5279455,4.596014
OMIM:609136,,1,SOX10,-0.71331143,4.560632
OMIM:610168,,2,TGFBR2,-4.2315326,6.046863
OMIM:610443,,0,KANSL1,-3.419956,1.310002
OMIM:610759,,3,SMC3,-4.68387,2.280604
OMIM:610954,,3,TCF4,-1.727922,1.8340088
OMIM:611174,,2,IRX5,-3.5021584,5.407931
OMIM:611209,,2,COG1,-3.9548705,4.8760505
OMIM:612289,,2,SLC25A24,-3.259546,4.4576087
OMIM:612313,,2,SATB2,-1.9908175,2.6069584
OMIM:612474,,3,"GJA5, GJA8",-2.5495617,2.5880742
OMIM:613406,,3,SIN3A,-2.775491,1.9881524
OMIM:613610,,2,WDR35,-3.135292,4.850887
OMIM:613658,,1,FARSB,-1.8408332,5.1589303
OMIM:613795,,2,SMAD3,-4.1744227,6.1706815
OMIM:614080,,2,PIGN,-2.350434,3.820493
OMIM:614756,,3,CAMTA1,-2.0148523,2.385805
OMIM:614866,,0,PEX2,-2.5662646,4.554964
OMIM:614976,,2,MEGF8,-3.8279872,4.9723454
OMIM:615273,,1,NGLY1,-1.6572626,4.0522976
OMIM:615398,,3,PIGT,-2.1375086,3.801859
OMIM:615485,,3,ASXL3,-2.671543,2.63281
OMIM:615546,,2,FAT4,-3.9260316,4.936807
OMIM:615582,,2,TGFB3,-4.2380214,6.1342144
OMIM:615688,,1,ADA2,-0.7398215,5.6942677
OMIM:615802,,1,PGAP1,-1.2856601,3.3967443
OMIM:615846,,1,IFIH1,-1.2539294,5.122764
OMIM:615873,,3,ADNP,-2.6920536,2.1177661
OMIM:616007,,2,IARS2,-3.4101477,5.793805
OMIM:616078,,3,SETBP1,-2.2131858,1.9777492
OMIM:616268,,3,KAT6A,-2.8246107,2.5032732
OMIM:616271,,1,CLPB,-1.0422733,4.826374
OMIM:616364,,3,POGZ,-2.2971466,2.1952477
OMIM:616541,,1,XRCC4,-1.4213121,4.816254
OMIM:616580,,3,HNRNPK,-3.415535,1.42661
OMIM:616737,,3,CDC42,-3.577174,2.3463533
OMIM:616973,,1,GNB1,-1.159418,2.9043577
OMIM:616975,,3,RERE,-3.1821218,2.9225264
OMIM:617052,,1,DNAJC21,-2.0232995,5.532399
OMIM:617061,,3,TRIO,-2.7897942,2.4902112
OMIM:617137,,2,MAP3K7,-3.9868329,4.561926
OMIM:617140,,3,SON,-2.4940279,3.0793035
OMIM:617157,,2,PRMT7,-2.8183353,3.5426304
OMIM:617193,,1,TBCD,-1.2985339,3.4132793
OMIM:617201,,3,NEDD4L,-1.8581111,2.245242
OMIM:617303,,1,VPS33A,-1.9229506,4.2293797
OMIM:617330,,3,EBF3,-2.0950847,2.382734
OMIM:617360,,3,CDK13,-3.1321235,2.8016267
OMIM:617402,,2,ATP6V1E1,-4.313213,5.703055
OMIM:617506,,2,PPP1CB,-3.5780427,3.8581657
OMIM:617557,,3,YY1,-2.2076416,1.8705862
OMIM:617796,,3,ASH1L,-1.8189555,2.168004
OMIM:617799,,1,CAMK2B,-1.152779,2.868888
OMIM:617804,,3,DHX30,-1.492222,2.5920842
OMIM:618076,,1,UFC1,-2.0648713,3.5842738
OMIM:618143,,1,PIGS,-1.2128845,3.1719465
OMIM:618268,,3,CCDC47,-2.443043,2.9363587
OMIM:618316,,3,TMEM94,-3.009843,3.2027664
OMIM:618332,,3,CREBBP,-3.7848086,2.9086351
OMIM:618371,,3,PCGF2,-2.6371715,2.1832023
OMIM:618443,,3,MAPK8IP3,-2.0537121,2.8759768
OMIM:618454,,3,TRRAP,-3.5709822,2.6203778
OMIM:618494,,0,ATN1,-3.585744,2.7643082
OMIM:618659,,3,ZMIZ1,-3.1868763,2.1805716
OMIM:618947,,2,TOR1A,-3.812148,3.5536833
OMIM:619004,,3,MADD,-2.9269383,3.1715055
OMIM:619087,,2,MAPK1,-3.5057254,3.2531443
OMIM:619127,,2,MTX2,-3.0906632,5.9846387
OMIM:619194,,2,HS2ST1,-3.192575,3.3969815
OMIM:619229,,3,SATB1,-1.8897028,2.3042548
OMIM:619293,,3,SMARCA2,-2.6780534,2.2931395
OMIM:619297,,3,AFF3,-2.1321366,2.5310059
OMIM:619312,,3,SPEN,-2.3869705,2.0891936
OMIM:619325,,3,BICRA,-2.492767,2.43568
OMIM:619383,,2,PPP1R21,-1.9070033,3.913759
OMIM:619472,,2,IPO8,-4.0507207,5.984457
OMIM:619475,,3,SPTBN1,-2.6872885,1.7727985
OMIM:619487,,1,RNU7-1,-1.2180775,4.9664717
OMIM:619488,,0,ZNF699,-3.2131038,4.38494
OMIM:619503,,3,GNB2,-2.541217,2.486001
OMIM:619512,,3,CLCN3,-2.3113818,2.5795665
OMIM:619522,,3,ZMYM2,-2.9251595,2.6873305
OMIM:619525,,1,SLC37A4,-2.185598,5.0884557
OMIM:619534,,1,IFT56,-2.6161273,4.7887607
