orpha_code,name,disorder_type,group,synonyms,geo_prevalence
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,Disorder,"Multiple epiphyseal dysplasia, Al-Gazali type",Global
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Disease,Disorder,,Global
58,Alexander disease,Disease,Disorder,AxD,Global
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Disease,Disorder,,Global
61,Alpha-mannosidosis,Disease,Disorder,Lysosomal alpha-D-mannosidase deficiency,Global
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,,Global
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,,Global
93,Aspartylglucosaminuria,Disease,Disorder,Aspartylglucosaminidase deficiency,Global
585,Multiple sulfatase deficiency,Disease,Disorder,MSD|Austin disease|Mucosulfatidosis,Global
118,Beta-mannosidosis,Disease,Disorder,Beta-mannosidase deficiency,Global
166068,Pontocerebellar hypoplasia type 5,Malformation syndrome,Disorder,Fetal-onset olivopontocerebellar hypoplasia|PCH5,Global
141,Canavan disease,Disease,Disorder,ACY2 deficiency|Aminoacylase 2 deficiency|Aspartoacylase deficiency|Spongy degeneration of the brain,Global
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,Fatal infantile encephalopathy with olivopontocerebellar hypoplasia|Olivopontocerebellar hypoplasia|PCH4,Global
166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,,Global
206,NON RARE IN EUROPE: Crohn disease,Disease,Disorder,,Global
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,Fatal infantile encephalopathy with mitochondrial respiratory chain defects|PCH6,Global
213,Cystinosis,Disease,Disorder,Protein defect of cystin transport,Global
166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,,Global
333,Farber disease,Disease,Disorder,Acid ceramidase deficiency|Farber lipogranulomatosis,Global
166081,Von Willebrand disease type 2,Clinical subtype,Subtype of disorder,,Global
349,Fucosidosis,Disease,Disorder,Alpha-L-fucosidase deficiency,Global
166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,,Global
