gene_symbol,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels
AARS,0,0,0,0,0,0,0,0,1,0,1
AARS2,0,0,0,0,0,1,0,0,0,0,1
AASS,0,0,0,0,0,1,0,0,1,0,2
ABAT,0,0,0,0,0,1,0,0,1,0,2
ABCA1,0,0,0,0,0,1,0,0,0,0,1
ABCB11,0,0,0,0,0,1,0,0,0,0,1
ABCB4,0,0,0,0,0,1,0,0,0,0,1
ABCB7,0,0,0,0,0,1,0,0,0,0,1
ABCC9,0,0,0,0,0,0,0,0,0,1,1
ABCD1,0,0,0,0,0,1,0,0,0,0,1
ABCD4,0,0,0,0,0,1,0,0,0,0,1
ABCG5,0,0,0,0,0,1,0,0,0,0,1
ABCG8,0,0,0,0,0,1,0,0,0,0,1
ABHD12,0,0,0,1,0,1,0,0,0,0,2
ABHD5,0,0,0,0,0,1,0,0,0,0,1
ABL1,1,1,0,0,0,0,0,0,0,0,2
ACACA,0,0,0,0,0,1,0,0,0,0,1
ACAD8,0,0,0,0,0,1,0,0,0,0,1
ACAD9,0,0,0,0,0,1,0,0,0,0,1
ACADM,0,0,0,0,0,1,0,0,0,0,1
ACADS,0,0,0,0,0,1,0,0,0,0,1
ACADSB,0,0,0,0,0,1,0,0,0,0,1
ACADVL,0,0,0,0,0,1,0,0,0,0,1
ACAN,0,0,0,0,0,0,0,0,0,1,1
ACAT1,0,0,1,0,0,1,0,0,0,0,2
ACO2,0,0,0,0,0,1,0,0,0,0,1
ACOX1,0,0,0,0,0,1,0,0,1,0,2
ACOX2,0,0,0,0,0,1,0,0,0,0,1
ACP5,0,0,0,0,0,0,0,0,0,1,1
ACSF3,0,0,0,0,0,1,0,0,0,0,1
ACTA2,0,1,0,0,0,0,0,0,0,0,1
ACTG1,0,0,0,1,0,0,0,0,0,0,1
ACTL6B,0,0,0,0,0,0,0,0,1,0,1
ACVR1,0,0,0,0,0,0,0,0,0,1,1
ACVR2B,1,0,0,0,0,0,0,0,0,0,1
ACY1,0,0,0,0,0,1,0,0,0,0,1
ADA,0,0,0,0,0,1,0,0,0,0,1
ADAMTS10,0,0,0,0,0,0,0,0,0,1,1
ADAMTS17,0,0,0,0,0,0,0,0,0,1,1
ADAMTS19,1,0,0,0,0,0,0,0,0,0,1
ADAMTSL2,0,0,0,0,0,0,0,0,0,1,1
ADAMTSL4,0,1,0,0,0,0,0,0,0,0,1
ADAR,0,0,0,0,0,1,0,0,1,0,2
ADARB1,0,0,0,0,0,0,0,0,1,0,1
ADGRG1,0,0,0,0,0,0,0,0,1,0,1
ADGRV1,0,0,0,1,0,0,0,0,0,0,1
ADPRHL2,0,0,0,0,0,0,0,0,1,0,1
ADSL,0,0,0,0,0,1,0,0,1,0,2
AFF3,0,0,0,0,0,0,0,0,1,1,2
AFG3L2,0,0,0,0,0,1,0,0,0,0,1
AGA,0,0,0,0,0,1,0,0,0,1,2
AGK,0,0,0,0,0,1,0,0,0,0,1
AGL,0,0,1,0,0,1,0,0,0,0,2
AGO1,0,0,0,0,0,0,0,0,1,0,1
AGPS,0,0,0,0,0,1,0,0,0,1,2
AGR2,0,0,0,0,0,0,1,0,0,0,1
AGXT,0,0,0,0,0,1,0,0,0,0,1
AHCY,0,0,0,0,0,1,0,0,0,0,1
