GeneSym	OMIMID	GeneID
BLMH	OMIM:602403	642
PAXIP1	OMIM:608254	22976
A2M	OMIM:103950	2
MPO	OMIM:606989	4353
HFE	OMIM:613609	3077
ACE	OMIM:106180	1636
ESR1	OMIM:133430	2099
GCLC	OMIM:606857	2729
GCLM	OMIM:601176	2730
LGALS2	OMIM:150571	3957
LRP8	OMIM:602600	7804
MIAT	OMIM:611082	440823
OLR1	OMIM:602601	4973
TNFSF4	OMIM:603594	7292
LTA	OMIM:153440	4049
ITGA2B	OMIM:607759	3674
ITGB3	OMIM:173470	3690
ALOX5	OMIM:152390	240
ATHS	OMIM:108725	470
NOD2	OMIM:605956	64127
AGT	OMIM:106150	183
ECE1	OMIM:600423	1889
GNB3	OMIM:139130	2784
AGTR1	OMIM:106165	185
PTGIS	OMIM:601699	5740
REN	OMIM:179820	5972
BAAT	OMIM:602938	570
TJP2	OMIM:607709	9414
EPHX1	OMIM:132810	2052
ZP1	OMIM:195000	22917
ZSWIM6	OMIM:615951	57688
ABCC8	OMIM:600509	6833
HNF1B	OMIM:189907	6928
GCK	OMIM:138079	2645
INS	OMIM:176730	3630
ABCG2	OMIM:603756	9429
ABCG5	OMIM:605459	64240
ABCG8	OMIM:605460	64241
ABHD12	OMIM:613599	26090
ABHD5	OMIM:604780	51099
ABL1	OMIM:189980	25
ABL2	OMIM:164690	27
ABO	OMIM:110300	28
ACACA	OMIM:200350	31
ACAD8	OMIM:604773	27034
ACAD9	OMIM:611103	28976
ACADM	OMIM:607008	34
ACADS	OMIM:606885	35
ACADSB	OMIM:600301	36
ACADVL	OMIM:609575	37
ACAN	OMIM:155760	176
ACAT1	OMIM:607809	38
ACAT2	OMIM:100678	39
AAT2	OMIM:607087	252843
ACF	OMIM:125520	387569
ACHE	OMIM:100740	43
ACKR1	OMIM:613665	2532
ACO2	OMIM:100850	50
ACOX1	OMIM:609751	51
ACP2	OMIM:171650	53
ACP5	OMIM:171640	54
ACR	OMIM:102480	49
ACRPS	OMIM:605967	85505
ACRPV	OMIM:102510	414058
ACSF3	OMIM:614245	197322
ACSL4	OMIM:300157	2182
ACTA1	OMIM:102610	58
ACTA2	OMIM:102620	59
ACTB	OMIM:102630	60
ACTC1	OMIM:102540	70
ACTG1	OMIM:102560	71
ACTG2	OMIM:102545	72
ACTN1	OMIM:102575	87
ACTN2	OMIM:102573	88
ACTN3	OMIM:102574	89
ACTN4	OMIM:604638	81
ACVR1	OMIM:102576	90
ACVR2B	OMIM:602730	93
ACVRL1	OMIM:601284	94
ACY1	OMIM:104620	95
AD10	OMIM:609636	780912
AD11	OMIM:609790	100188795
AD12	OMIM:611073	100188830
AD13	OMIM:611152	100188837
AD14	OMIM:611154	100188754
AD15	OMIM:611155	100188838
AD16	OMIM:300756	100271718
AD17	OMIM:615080	101290498
AD5	OMIM:602096	8081
AD6	OMIM:605526	64851
AD7	OMIM:606187	114475
AD8	OMIM:607116	353128
AD9	OMIM:608907	450086
ADA	OMIM:608958	100
ADAM10	OMIM:602192	102
ADAM17	OMIM:603639	6868
ADAM9	OMIM:602713	8754
ADAMTS10	OMIM:608990	81794
ADAMTS13	OMIM:604134	11093
ADAMTS17	OMIM:607511	170691
ADAMTS18	OMIM:607512	170692
ADAMTS2	OMIM:604539	9509
ADAMTSL2	OMIM:612277	9719
ADAMTSL4	OMIM:610113	54507
ADAR	OMIM:146920	103
ADAT3	OMIM:615302	113179
ADCK3	OMIM:606980	56997
ADCK4	OMIM:615567	79934
ADCY1	OMIM:103072	107
ADCY10	OMIM:605205	55811
ADCY5	OMIM:600293	111
ADD1	OMIM:102680	118
ADFN	OMIM:300700	122
ADHD5	OMIM:612311	100190790
ADHD6	OMIM:612312	100190791
ADIPOQ	OMIM:605441	9370
ADIPQTL2	OMIM:606770	171511
ADIPQTL3	OMIM:606771	171512
ADIPQTL4	OMIM:612629	100271698
ADIPQTL5	OMIM:613836	100653375
ADK	OMIM:102750	132
ADNP	OMIM:611386	23394
ADRA2C	OMIM:104250	152
ADRB1	OMIM:109630	153
ADSL	OMIM:608222	158
AFA1	OMIM:109200	100188784
AFF2	OMIM:300806	2334
AFG3L2	OMIM:604581	10939
AFP	OMIM:104150	174
AGA	OMIM:613228	175
AGA2	OMIM:300710	100188771
AGA3	OMIM:612421	100217387
AGBL1	OMIM:615496	123624
AGK	OMIM:610345	55750
AGL	OMIM:610860	178
AGMX2	OMIM:300310	179
AGPAT2	OMIM:603100	10555
AGPS	OMIM:603051	8540
AGRN	OMIM:103320	375790
AGRP	OMIM:602311	181
AGSPX	OMIM:300652	100188767
ABCB11	OMIM:603201	8647
AGXT	OMIM:604285	189
AHCY	OMIM:180960	191
AHDC1	OMIM:615790	27245
AHI1	OMIM:608894	54806
AIC	OMIM:304050	192
AICDA	OMIM:605257	57379
AIFM1	OMIM:300169	9131
AIMP1	OMIM:603605	9255
AIP	OMIM:605555	9049
AIR	OMIM:601676	7808
AIRE	OMIM:607358	326
AIS2	OMIM:608391	378426
AIS3	OMIM:608392	378427
AIS4	OMIM:609400	619405
AITD1	OMIM:608173	387578
AITD2	OMIM:608174	387579
AITD4	OMIM:608176	387581
AK1	OMIM:103000	203
AK2	OMIM:103020	204
AKAP10	OMIM:604694	11216
AKAP9	OMIM:604001	10142
AKR1C2	OMIM:600450	1646
AKR1C4	OMIM:600451	1109
AKR1D1	OMIM:604741	6718
AKT2	OMIM:164731	208
AKT3	OMIM:611223	10000
ALAD	OMIM:125270	210
ALAS2	OMIM:301300	212
ALB	OMIM:103600	213
ALDH18A1	OMIM:138250	5832
ALDH1A3	OMIM:600463	220
ALDH2	OMIM:100650	217
ALDH3A2	OMIM:609523	224
ALDH4A1	OMIM:606811	8659
ALDH5A1	OMIM:610045	7915
ALDH6A1	OMIM:603178	4329
ALDH7A1	OMIM:107323	501
ALDOA	OMIM:103850	226
ALDOB	OMIM:612724	229
ALG1	OMIM:605907	56052
ALG10	OMIM:603313	84920
ALG11	OMIM:613666	440138
ALG12	OMIM:607144	79087
ALG13	OMIM:300776	79868
ALG2	OMIM:607905	85365
ALG3	OMIM:608750	10195
ALG6	OMIM:604566	29929
ALG8	OMIM:608103	79053
ALG9	OMIM:606941	79796
ALK	OMIM:105590	238
ALL1	OMIM:613065	100310785
ALL2	OMIM:613067	100310786
ALMS1	OMIM:606844	7840
ALOX12B	OMIM:603741	242
AASS	OMIM:605113	10157
ALOX5AP	OMIM:603700	241
ALOXE3	OMIM:607206	59344
ALPL	OMIM:171760	249
ALPQTL1	OMIM:171720	100196909
ALPQTL2	OMIM:612367	100196914
ALPQTL3	OMIM:612368	100196915
ALPQTL4	OMIM:612369	100196916
ALS2	OMIM:606352	57679
ALS3	OMIM:606640	253
ALS5	OMIM:602099	255
ALS7	OMIM:608031	406238
ALX1	OMIM:601527	8092
ALX3	OMIM:606014	257
ALX4	OMIM:605420	60529
AMACR	OMIM:604489	23600
AMCN	OMIM:208100	261
AMELX	OMIM:300391	265
AMER1	OMIM:300647	139285
AMH	OMIM:600957	268
AMHR2	OMIM:600956	269
AMMEC	OMIM:300194	100499260
AMN	OMIM:605799	81693
AMPD1	OMIM:102770	270
AMPD2	OMIM:102771	271
AMPD3	OMIM:102772	272
ANBC	OMIM:606179	114293
ANC	OMIM:105580	8066
ANG	OMIM:105850	283
ANGPTL3	OMIM:604774	27329
ANGPTL4	OMIM:605910	51129
ANIB1	OMIM:105800	116833
ANIB10	OMIM:612587	100271689
ANIB11	OMIM:614252	100750328
ANIB2	OMIM:608542	449013
ANIB3	OMIM:609122	497657
ANIB4	OMIM:610213	724058
ANIB5	OMIM:300870	100188810
ANIB6	OMIM:611892	100188858
