OrphaCode,Name
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome
58,Alexander disease
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome
61,Alpha-mannosidosis
166038,"Metaphyseal chondrodysplasia, Kaitila type"
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome
93,Aspartylglucosaminuria
585,Multiple sulfatase deficiency
118,Beta-mannosidosis
166068,Pontocerebellar hypoplasia type 5
141,Canavan disease
166063,Pontocerebellar hypoplasia type 4
166078,Von Willebrand disease type 1
206,NON RARE IN EUROPE: Crohn disease
166073,Pontocerebellar hypoplasia type 6
213,Cystinosis
166084,Von Willebrand disease type 2A
333,Farber disease
166081,Von Willebrand disease type 2
349,Fucosidosis
166090,Von Willebrand disease type 2M
365,Glycogen storage disease due to acid maltase deficiency
166087,Von Willebrand disease type 2B
366,Glycogen storage disease due to glycogen debranching enzyme deficiency
166093,Von Willebrand disease type 2N
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency
166096,Von Willebrand disease type 3
367,Glycogen storage disease due to glycogen branching enzyme deficiency
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia
371,Glycogen storage disease due to muscle phosphofructokinase deficiency
166105,FASTKD2-related infantile mitochondrial encephalomyopathy
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency
447,Paroxysmal nocturnal hemoglobinuria
166108,Birk-Barel syndrome
166113,Bazex syndrome
535,Rare cutaneous lupus erythematosus
166119,Isolated osteopoikilosis
487,Krabbe disease
166260,Dentinogenesis imperfecta type 2
166265,Dentinogenesis imperfecta type 3
583,Mucopolysaccharidosis type 6
166272,Odontochondrodysplasia
576,Mucolipidosis type II
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia
812,Sialidosis type 1
166282,Hereditary sick sinus syndrome
578,Mucolipidosis type IV
166286,Porokeratotic eccrine ostial and dermal duct nevus
577,Mucolipidosis type III
166291,Dirofilariasis
166295,Benign non-familial infantile seizures
771,NON RARE IN EUROPE: Ulcerative colitis
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep
166305,OBSOLETE: Benign infantile seizures associated with mild gastroenteritis
2912,Poliomyelitis
166302,Benign partial epilepsy with secondarily generalized seizures in infancy
166299,Benign partial epilepsy of infancy with complex partial seizures
796,Sandhoff disease
166409,Photosensitive occipital lobe epilepsy
801,Scleroderma
166311,Benign partial infantile seizures
461,Recessive X-linked ichthyosis
166421,Orgasm-induced epilepsy
856,NON RARE IN EUROPE: Tourette syndrome
166418,Eating reflex epilepsy
166415,Audiogenic epilepsy
584,Mucopolysaccharidosis type 7
825,NON RARE IN EUROPE: Ankylosing spondylitis
166412,Hot water reflex epilepsy
166433,Epilepsy with reading-induced seizures
166430,Micturition-induced epilepsy
881,Turner syndrome
166427,Startle epilepsy
166424,Thinking epilepsy
95,Friedreich ataxia
166466,Neurocutaneous syndrome with epilepsy
848,Beta-thalassemia
166469,Chromosomal anomaly with epilepsy as a major feature
846,Alpha-thalassemia
166457,OBSOLETE: Other forms of non-paraneoplastic limbic encephalitis
586,Cystic fibrosis
166463,Epilepsy syndrome
