orpha_code,disease_name,disorder_type,gene_symbol,gene_name,gene_locus,association_type,omim_gene,hgnc,ensembl
ORPHA:166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Disease,KIF7,kinesin family member 7,15q26.1,Disease-causing germline mutation(s) in,611254,30497,ENSG00000166813
ORPHA:166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,CWC27,CWC27 spliceosome associated cyclophilin,5q12.3,Disease-causing germline mutation(s) in,617170,10664,ENSG00000153015
ORPHA:93,Aspartylglucosaminuria,Disease,AGA,aspartylglucosaminidase,4q34.3,Disease-causing germline mutation(s) in,613228,318,ENSG00000038002
ORPHA:585,Multiple sulfatase deficiency,Disease,SUMF1,sulfatase modifying factor 1,3p26.1,Disease-causing germline mutation(s) in,607939,20376,ENSG00000144455
ORPHA:118,Beta-mannosidosis,Disease,MANBA,mannosidase beta,4q24,Disease-causing germline mutation(s) in,609489,6831,ENSG00000109323
ORPHA:166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,TSEN54,tRNA splicing endonuclease subunit 54,17q25.1,Disease-causing germline mutation(s) in,608755,27561,ENSG00000182173
ORPHA:166078,Von Willebrand disease type 1,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",6q15,Disease-causing germline mutation(s) in,611524,21406,ENSG00000146282
ORPHA:166084,Von Willebrand disease type 2A,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:333,Farber disease,Disease,ASAH1,N-acylsphingosine amidohydrolase 1,8p22,Disease-causing germline mutation(s) in,613468,735,ENSG00000104763
ORPHA:349,Fucosidosis,Disease,FUCA1,alpha-L-fucosidase 1,1p36.11,Disease-causing germline mutation(s) in,612280,4006,ENSG00000179163
ORPHA:166090,Von Willebrand disease type 2M,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:166087,Von Willebrand disease type 2B,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",1p21.2,Disease-causing germline mutation(s) in,610860,321,ENSG00000162688
ORPHA:166093,Von Willebrand disease type 2N,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,PYGM,"glycogen phosphorylase, muscle associated",11q13.1,Disease-causing germline mutation(s) in,608455,9726,ENSG00000068976
ORPHA:166096,Von Willebrand disease type 3,Clinical subtype,VWF,von Willebrand factor,12p13.31,Disease-causing germline mutation(s) in,613160,12726,ENSG00000110799
ORPHA:166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,COL2A1,collagen type II alpha 1 chain,12q13.11,Candidate gene tested in,120140,2200,ENSG00000139219
ORPHA:166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,COL11A2,collagen type XI alpha 2 chain,6p21.32,Disease-causing germline mutation(s) in,120290,2187,ENSG00000204248
ORPHA:371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,PFKM,"phosphofructokinase, muscle",12q13.11,Disease-causing germline mutation(s) in,610681,8877,ENSG00000152556
ORPHA:166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,FASTKD2,FAST kinase domains 2,2q33.3,Disease-causing germline mutation(s) (loss of function) in,612322,29160,ENSG00000118246
ORPHA:369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,PYGL,glycogen phosphorylase L,14q22.1,Disease-causing germline mutation(s) in,613741,9725,ENSG00000100504
ORPHA:447,Paroxysmal nocturnal hemoglobinuria,Disease,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,Xp22.2,Disease-causing somatic mutation(s) in,311770,8957,ENSG00000165195
ORPHA:166108,Birk-Barel syndrome,Disease,KCNK9,potassium two pore domain channel subfamily K member 9,8q24.3,Disease-causing germline mutation(s) in,605874,6283,ENSG00000169427
ORPHA:166119,Isolated osteopoikilosis,Disease,LEMD3,LEM domain containing 3,12q14.3,Disease-causing germline mutation(s) (loss of function) in,607844,28887,ENSG00000174106
ORPHA:166260,Dentinogenesis imperfecta type 2,Clinical subtype,DSPP,dentin sialophosphoprotein,4q22.1,Disease-causing germline mutation(s) in,125485,3054,ENSG00000152591
