source_node,target_node,source,edge_type,confidence
NAT2,HP:0000007,HPO_JAX,gene_phenotype,0.85
NAT2,HP:0001939,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002460,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002451,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0010871,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0009886,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002421,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001298,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001290,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001273,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001268,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002599,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001284,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001250,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001251,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001249,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001265,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001264,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001263,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001257,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0100876,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0007340,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002521,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002509,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001332,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000007,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001337,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000006,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001336,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0001315,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0012196,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0012179,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0008936,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0008944,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002020,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0030903,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002063,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002072,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002059,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003477,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003487,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002133,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003431,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003429,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003438,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002188,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003596,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003593,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003577,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003581,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0100710,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002224,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0200134,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0007018,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0011968,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0020045,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002376,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002355,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002352,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002317,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0010844,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0100660,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0009830,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0002310,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003621,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000639,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000648,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000643,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000601,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0009027,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000668,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0004322,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0004305,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000751,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000750,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000717,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000726,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000708,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0011462,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0011443,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0011448,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0003202,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0045075,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0008003,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000973,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0000964,HPO_JAX,gene_phenotype,0.85
AARS1,HP:0008070,HPO_JAX,gene_phenotype,0.85
